cf_class_id,Anon Student Id,Session Id,0
c1,s74,_huu5hrseziiwp5xf3fl7negqea:1663937217946,120
c1,s74,_ib2oaltrqjelqk2rp8uuxpqnmu:1662076746312,357
c1,s74,aerdhk6v1_ro5dfskvvdz8wrciu:1663032905002,120
c1,s74,brvocym8jeat74z63w-7y4xzhlw:1669911320053,36
c1,s74,brvocym8jeat74z63w-7y4xzhlw:1669912286209,92
c1,s74,dcw_ha3yve4saowq4f5m6ml8-qa:1661960335208,70
c1,s74,dgufpr1-d3zameixumel11mvdgy:1663686670056,145
c1,s74,e2nw_smfu9i7gldfeuogwe8vbww:1669824841036,76
c1,s74,fizd3cl49vrdxew-rycj18pawt4:1666021685403,8
c1,s74,ftmevepu-o0sz3ctkz8qfwdxegc:1664464391651,374
c1,s74,ij5ahxf4exoyoi6ygkqztt0dr60:1661440563965,160
c1,s74,jnapzega6qs67xv0qvsdhlr0itq:1662045398236,84
c1,s74,js8rwsibfouaqiqtbt_o7jxd9tg:1664801257797,71
c1,s74,jseehj0jj8aa6bogg7jvi1ohfzw:1670256977073,24
c1,s74,jtcoqmychgsvd3okq1rv4hg3l0o:1661994807083,44
c1,s74,ksqkvorp1kowk2ntrt3yjvbrbl4:1668010633744,48
c1,s74,ksqkvorp1kowk2ntrt3yjvbrbl4:1668011185974,88
c1,s74,lwcc_gqv6hgicfo1qpxxqgnwisc:1661786718986,75
c1,s74,mazjcw7gwi_ucqp59nzkj1_-5ik:1663860389565,588
c1,s74,nxjeleimp4xfqqnsjp048zfpffi:1663943606871,4
c1,s74,pa1cf2pnbmkjjcpb2x9mhsneclc:1669997658188,12
c1,s74,pnircr5b06mxb5i6uxr7mptlthe:1663254985112,36
c1,s74,puugzvfbiqzpxzmmxbjifw9apba:1663083068830,125
c1,s74,t724lqmiumo2c2by4khjzvz6jj4:1661355912944,64
c1,s74,uaxkxzexkjywtnxrxo8t7p_v2c4:1662070781796,23
c1,s74,us9ssqzmnmx2nd2lf_bpc03lojy:1670428227483,71
c1,s74,wkdj-2ycq8yq7z4ibroavy1bhwy:1662734365488,72
c1,s74,x_qln6tgip0gqmgfu2y3pgolz2u:1664982836112,265
c1,s74,xzpvzaqe8jfaqhuqvgxjmdmivgc:1668702090929,180
c1,s74,yjioo1iniqpqfgmleln3axzxbgg:1661988445703,320
c1,s88,cndtlzyv4yd72e5yymqwkgqrzoi:1661356158800,4
c1,s88,cp2qmw3hhfmhhayqd-28q7gszhu:1661440568037,132
c10,s119,0jrj8s7goglkjgkuxssolc4tx0s:1663961005152,25
c10,s119,3j70tmgd_no5zlhn8ey9t08qnwa:1666897354914,138
c10,s119,4sgs9tjdql_o3pnyh2nbpqao4rg:1670531793209,118
c10,s119,akvbjrxi9b_8mdesft864txg8ls:1666725085477,274
c10,s119,bidztz5srs7ylucbh8v82zmlj1q:1669924375260,37
c10,s119,f8ovxrlp3iw0umphgvoz7sddqqy:1661802096345,58
c10,s119,gqm5mmvcfwspq2zesnm6lccdc6m:1661198050684,2
c10,s119,kd7m8xcn_qpygnvedrwi4bmlnlm:1666293826484,366
c10,s119,koa_grdw9hcnf4sg8u9nv4lhvuo:1661539526533,17
c10,s119,kyymtboyrjp1fzj4begnpcixks0:1667331042398,87
c10,s119,leb-udsfraufxcandbthsm2zs2s:1670617322809,41
c10,s119,lzjnyziukuxiysnezh98khzsa5s:1662489992656,55
c10,s119,n7wcilgcemsxlo-sychb5v7k7am:1661885097536,75
c10,s119,nhjllhrxicwheikgsx07udlsymc:1661971733802,165
c10,s119,qak_8rnudtba38sn81-ao1n8g9u:1666813179381,17
c10,s119,szilop06iexjblwzrwa8b8w-td8:1670877351424,7
c10,s119,totlwemljeuf7rjwl2epu3pf80c:1662751504931,1
c10,s119,ydpzl1anvnw2ji2rmc3znrctgdi:1661888959291,41
